統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
62189936,青禾鮮品有限公司,基隆市七堵區東新街45巷16號,張秉鈞,1500000,115/03/30,,,A102020 農產品整理業；A102060 糧商業；A199990 其他農業；C199030 即食餐食製造業；F101040 家畜家禽批發業；F101050 水產品批發業；F101130 蔬果批發業；F101990 其他農、畜、水產品批發業；F102170 食品什貨批發業；F201010 農產品零售業,基隆市,設立,11504
62189957,海曜國際有限公司,基隆市中正區新豐里新豐街162巷28號,葉致磊,1000000,115/03/30,,,F401010 國際貿易業；IZ06010 理貨包裝業；IZ02010 打字業；I301020 資料處理服務業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,基隆市,設立,11504
62193777,永立有限公司,基隆市暖暖區東碇路388之15號1樓,楊春金,3000000,115/04/13,,,CA04010 表面處理業；F113010 機械批發業；F213080 機械器具零售業；F113030 精密儀器批發業；F213040 精密儀器零售業；E604010 機械安裝業；JA02010 電器及電子產品修理業；F119010 電子材料批發業；F401010 國際貿易業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,基隆市,設立,11504
62198766,凱馨報驗有限公司,基隆市中山區安一路99-1號(二樓),陳冠臻,200000,115/04/17,,,I101090 食品顧問業；IC01010 藥品檢驗業；IZ06010 理貨包裝業；G702010 船舶勞務承攬業；IZ99990 其他工商服務業；IF04010 非破壞檢測業；IZ09010 管理系統驗證業；J101050 環境檢測服務業；F399040 無店面零售業；F401010 國際貿易業,基隆市,設立,11504
62199033,燊泰電商有限公司,基隆市七堵區永平里崇信街37巷5號,黃雅琪,1000000,115/04/20,,,F102020 食用油脂批發業；F102170 食品什貨批發業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F105050 家具、寢具、廚房器具、裝設品批發業；F106010 五金批發業；F106020 日常用品批發業；F106050 陶瓷玻璃器皿批發業；F107030 清潔用品批發業；F108040 化粧品批發業；F112040 石油製品批發業,基隆市,設立,11504
62199189,芯瑞環衛有限公司,基隆市中山區復興路209號14樓之6,洪以芯,300000,115/04/20,,,J101020 病媒防治業；J101990 其他環境衛生及污染防治服務業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,基隆市,設立,11504
62199239,昱啟煥股份有限公司,基隆市暖暖區碇祥里碇內街73巷2號1樓,潘昱潔,1550000,115/04/20,,,F106010 五金批發業；F206010 五金零售業；F401010 國際貿易業；F109070 文教、樂器、育樂用品批發業；F209060 文教、樂器、育樂用品零售業；F105050 家具、寢具、廚房器具、裝設品批發業；F205040 家具、寢具、廚房器具、裝設品零售業；F113070 電信器材批發業；F213060 電信器材零售業；F213030 電腦及事務性機器設備零售業,基隆市,設立,11504
62199391,鑫晉工程有限公司,基隆市暖暖區碇內街286號8樓,柯晉豪,100000,115/04/21,,,A102080 園藝服務業；E599010 配管工程業；E601020 電器安裝業；E801010 室內裝潢業；E801020 門窗安裝工程業；E801030 室內輕鋼架工程業；E801040 玻璃安裝工程業；E801070 廚具、衛浴設備安裝工程業；E901010 油漆工程業；E903010 防蝕、防銹工程業,基隆市,設立,11504
62206267,群紀食品實業有限公司,基隆市信義區東明路112-9號,許家禎,50000,115/04/29,,,C104020 烘焙炊蒸食品製造業；C199030 即食餐食製造業；F102170 食品什貨批發業；F203010 食品什貨、飲料零售業；F401010 國際貿易業；C199990 未分類其他食品製造業；F106020 日常用品批發業；F113030 精密儀器批發業；F206020 日常用品零售業；F399040 無店面零售業,基隆市,設立,11504
62224531,朵朵文化創意有限公司,基隆市中正區新豐街227之2號,吳綺芸,50000,115/04/22,,,F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F105050 家具、寢具、廚房器具、裝設品批發業；F106020 日常用品批發業；F109070 文教、樂器、育樂用品批發業；F115010 首飾及貴金屬批發業；F206020 日常用品零售業；F399040 無店面零售業；F399990 其他綜合零售業；F401010 國際貿易業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,基隆市,設立,11504
62224672,浚研系統股份有限公司,基隆市中正區港通里義一路87號8樓之2,周秉毅,1200000,115/04/22,,,F118010 資訊軟體批發業；F218010 資訊軟體零售業；F113050 電腦及事務性機器設備批發業；F213030 電腦及事務性機器設備零售業；F113070 電信器材批發業；F213060 電信器材零售業；F119010 電子材料批發業；F219010 電子材料零售業；F113030 精密儀器批發業；F213040 精密儀器零售業,基隆市,設立,11504
62232167,夏日光海上娛樂事業有限公司,基隆市安樂區七賢里安和一街6巷58-2號,徐秉麟,1000000,115/04/23,,,EZ02010 起重工程業；E599010 配管工程業；A301040 娛樂漁業；A302010 對外漁業合作業；A302020 漁業服務業；F101070 漁具批發業；E603100 電焊工程業；E801010 室內裝潢業；E901010 油漆工程業；EZ99990 其他工程業,基隆市,設立,11504
62232342,慈勝豐有限公司,基隆市信義區福民街176號1樓,郭誌瑋,600000,115/04/24,,,E603040 消防安全設備安裝工程業；E603050 自動控制設備工程業；E603090 照明設備安裝工程業；E801010 室內裝潢業；E801070 廚具、衛浴設備安裝工程業；F206010 五金零售業；F206040 水器材料零售業；F213010 電器零售業；F401010 國際貿易業；E604010 機械安裝業,基隆市,設立,11504
62232379,弘任科技有限公司,基隆市信義區東信路35巷33號1樓,江麗惠,1000000,115/04/24,,,F113030 精密儀器批發業；F213040 精密儀器零售業；F401010 國際貿易業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,基隆市,設立,11504
