統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
00007181,八禧實業股份有限公司,新北市三重區重新路5段646號6樓之1,許姿華,40000000,113/11/08,115/04/22,特殊補正,F102170 食品什貨批發業；F107030 清潔用品批發業；F108040 化粧品批發業；F113030 精密儀器批發業；F118010 資訊軟體批發業；F203010 食品什貨、飲料零售業；F207030 清潔用品零售業；F208040 化粧品零售業；F213040 精密儀器零售業；F218010 資訊軟體零售業,新北市,變更,11504
00010952,金凱璿股份有限公司,新北市八里區文昌七街175號6樓,劉卋璿,5000000,113/11/29,115/04/14,公司所營事業變更修正章程,F111090 建材批發業；F211010 建材零售業；F401010 國際貿易業；IZ06010 理貨包裝業；IZ12010 人力派遣業；F102050 茶葉批發業；F106020 日常用品批發業；F199990 其他批發業；F206020 日常用品零售業；F299990 其他零售業,新北市,變更,11504
00019383,崋昶實業有限公司,新北市鶯歌區中山路185號（4樓）,林芷芸,15500000,114/02/12,115/04/09,公司所營事業變更修正章程,H201010 一般投資業；E801010 室內裝潢業；H703090 不動產買賣業；H703100 不動產租賃業；I103060 管理顧問業；IZ12010 人力派遣業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務；F108031 醫療器材批發業；F208031 醫療器材零售業,新北市,變更,11504
00028313,嘉瑞精密有限公司,新北市新莊區自立街192號2樓,賴毅倫,1000000,113/09/05,115/04/22,特殊補正,CQ01010 模具製造業；CB01010 機械設備製造業；CA01130 銅材軋延、伸線、擠型業；F106030 模具批發業；F106010 五金批發業；F113010 機械批發業；F113020 電器批發業；F113030 精密儀器批發業；F113050 電腦及事務性機器設備批發業；F113990 其他機械器具批發業,新北市,變更,11504
00034201,冠德國際科技股份有限公司,新北市中和區中板路23號9樓,鄭淳正,9000000,113/10/14,115/04/20,公司所營事業變更修正章程,F113020 電器批發業；F113050 電腦及事務性機器設備批發業；F113070 電信器材批發業；F113110 電池批發業；F119010 電子材料批發業；F213010 電器零售業；F213030 電腦及事務性機器設備零售業；F213060 電信器材零售業；F213110 電池零售業；F219010 電子材料零售業,新北市,變更,11504
00040766,崧泰股份有限公司,新北市三重區溪尾街94號7樓,張煥緒,8000000,113/10/11,115/04/20,增資(資本總額),I301020 資料處理服務業；H703100 不動產租賃業；H701010 住宅及大樓開發租售業；I301010 資訊軟體服務業；H703090 不動產買賣業；I301030 電子資訊供應服務業；H701020 工業廠房開發租售業；I401010 一般廣告服務業；I503010 景觀、室內設計業；H701050 投資興建公共建設業,新北市,變更,11504
00041462,兔兔娛樂有限公司,新北市新莊區民安西路380號地下1樓之29,張鈞雄,200000,113/10/23,115/04/24,公司所在地,F109070 文教、樂器、育樂用品批發業；F209060 文教、樂器、育樂用品零售業；JE01010 租賃業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新北市,變更,11504
00041998,鉑馭有限公司,新北市新店區環河路64號5樓,陳信衡,3000000,113/08/14,115/04/21,公司所營事業變更修正章程,F114010 汽車批發業；F114020 機車批發業；F114030 汽、機車零件配備批發業；F214010 汽車零售業；F214020 機車零售業；F214030 汽、機車零件配備零售業；I501010 產品設計業；F106010 五金批發業；F113090 交通標誌器材批發業；F114050 車胎批發業,新北市,變更,11504
00047450,拉蘇投資有限公司,新北市中和區中正路1215號2樓,施博庶,5087156,113/12/04,115/04/23,股東出資轉讓修正章程,H201010 一般投資業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新北市,變更,11504
00052609,萬友實業有限公司,新北市林口區文化二路1段390號5樓,陳彥羽,500000,113/11/01,115/04/15,特殊補正,F109070 文教、樂器、育樂用品批發業；F209060 文教、樂器、育樂用品零售業；F102170 食品什貨批發業；F203010 食品什貨、飲料零售業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F106020 日常用品批發業；F108040 化粧品批發業；F102030 菸酒批發業；F204110 布疋、衣著、鞋、帽、傘、服飾品零售業；F207030 清潔用品零售業,新北市,變更,11504
