統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
00086018,緯紘環保有限公司,新竹市北區舊社里湳雅街218巷8號5樓,曾馨瑩,1000000,113/09/03,115/04/15,公司所在地,J101010 建築物清潔服務業；J101030 廢棄物清除業；J101040 廢棄物處理業；J101080 資源回收業；J101090 廢棄物清理業；A102080 園藝服務業；A202040 伐木業；B601010 土石採取業；E801010 室內裝潢業；E801020 門窗安裝工程業,新竹市,變更,11504
00195780,伽利略資訊股份有限公司,新竹市北區台溪里中華路3段9號8樓之5,陳志凌,2000000,113/10/16,115/04/23,增資(資本總額),I103060 管理顧問業；I199990 其他顧問服務業；I301010 資訊軟體服務業；I301020 資料處理服務業；I301030 電子資訊供應服務業；IG02010 研究發展服務業；IZ12010 人力派遣業；IZ99990 其他工商服務業；F118010 資訊軟體批發業；F119010 電子材料批發業,新竹市,變更,11504
00214837,森域傳媒有限公司,新竹市東區三民里民生路10巷25號7樓之2,龔枻閤,1000000,113/12/17,115/04/01,公司所在地,I401010 一般廣告服務業；I301010 資訊軟體服務業；I301020 資料處理服務業；F401010 國際貿易業；I103060 管理顧問業；I199990 其他顧問服務業；I301030 電子資訊供應服務業；I401020 廣告傳單分送業；I501010 產品設計業；I599990 其他設計業,新竹市,變更,11504
00240151,皇家翡翠有限公司,新竹市北區經國路二段90號、90號2樓,蔡素琴,500000,114/02/17,115/04/27,改推董事/董事長,JZ99110 瘦身美容業；JF01020 按摩業；JF01030 腳底按摩業；JZ99080 美容美髮服務業；F208040 化粧品零售業；J701030 視聽歌唱業；F501050 飲酒店業；F501030 飲料店業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,變更,11504
12308243,協興企業管理顧問有限公司,新竹市東區竹蓮里南大路296號1樓,塗文銓,1000000,69/12/17,115/04/29,一般補正案,F401010 國際貿易業；G202010 停車場經營業；H703100 不動產租賃業；I103060 管理顧問業；I301040 第三方支付服務業；IZ12010 人力派遣業；JE01010 租賃業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,變更,11504
12625177,寬原科技股份有限公司,新竹市東區金山里8鄰光復路一段89巷222號6樓,林雄政,29500000,89/09/28,115/04/08,董事/監察人持股變動報備,CC01080 電子零組件製造業；CC01990 其他電機及電子機械器材製造業；CE01990 其他光學及精密器械製造業；F401010 國際貿易業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,變更,11504
12707868,宏發投資股份有限公司,新竹市東區復中里中央路247號7樓之1,邱丕良,1000000,89/11/23,115/04/14,補繳規費,H201010 一般投資業,新竹市,變更,11504
12708825,格物投資股份有限公司,新竹市東區復中里中央路247號7樓之1,邱丕良,1000000,89/11/24,115/04/16,補繳規費,H201010 一般投資業,新竹市,變更,11504
12708944,欣欣投資股份有限公司,新竹市東區復中里中央路247號7樓之1,邱丕良,1000000,89/11/24,115/04/28,補繳規費,H201010 一般投資業,新竹市,變更,11504
12901841,智微科技股份有限公司,新竹市科研路8號5樓之3,劉立國,708943500,90/09/21,115/04/24,減資,I501010 產品設計業；I301010 資訊軟體服務業；F601010 智慧財產權業；IZ99990 其他工商服務業(積體電路測試)研究、開發、設計、製造及銷售下列產品:1.高速及無線傳輸介面、儲存裝置、網路通訊技術相關產品及矽智財及系統平台2.毫米波雷達物聯網裝置及矽智財3.人工智慧人機介面相關產品及矽智財,新竹市,變更,11504
13038161,承大水電工程有限公司,新竹市香山區虎林里虎林街115號1樓,郭慶文,20000000,91/03/06,115/04/22,補繳規費,E601011 電器承裝業；E501011 自來水管承裝商；E603040 消防安全設備安裝工程業；E603090 照明設備安裝工程業；E801010 室內裝潢業；E801030 室內輕鋼架工程業；E801070 廚具、衛浴設備安裝工程業；E599010 配管工程業；F213010 電器零售業；F206040 水器材料零售業,新竹市,變更,11504
16130280,晶豪科技股份有限公司,新竹市工業東四路23號,張明鑒,2977414880,87/06/02,115/04/17,可轉換公司債換發新股,CC01080 電子零組件製造業；I301010 資訊軟體服務業；F401030 製造輸出業研究、開發、生產、製造、銷售下列產品：１、0.21微米（含）以下製程所製造之DRAM及所有以0.25微米（含）以下製程所製造之SRAM及Flash Memory。２、類比積體電路。３、類比與數位混合積體電路。４、與本公司業務相關之產品設計及研發之技術服務。５、兼營與本公司業務相關之進出口貿易業務。,新竹市,變更,11504
