統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
62189979,泓鈺精密有限公司,新竹市北區四維路130號4樓之2,李亭萱,300000,115/03/30,,,F106010 五金批發業；F113010 機械批發業；F213080 機械器具零售業；F214030 汽、機車零件配備零售業；CB01010 機械設備製造業；CC01080 電子零組件製造業；CA02990 其他金屬製品製造業；CB01990 其他機械製造業；CC01990 其他電機及電子機械器材製造業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,設立,11504
62190315,叡達室內裝修設計有限公司,新竹市東區慈雲路118號3樓之6,江昌達,500000,115/04/01,,,E801010 室內裝潢業；E801060 室內裝修業；E599010 配管工程業；E601020 電器安裝業；E603050 自動控制設備工程業；E603090 照明設備安裝工程業；E607010 太陽熱能設備安裝工程業；E701040 簡易電信設備安裝業；E801020 門窗安裝工程業；E801030 室內輕鋼架工程業,新竹市,設立,11504
62190504,酈坤永續科技股份有限公司,新竹市東區南大里西大路120號4樓,曾國強,1000000,115/04/01,,,D101060 再生能源自用發電設備業；IG03010 能源技術服務業；I102010 一般投資顧問業；I103060 管理顧問業；F401010 國際貿易業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,設立,11504
62190552,浚拓工程有限公司,新竹市東區文華里北大路22號四樓之3,孫崧凱,100000,115/04/01,,,E801010 室內裝潢業；F211010 建材零售業；E601020 電器安裝業；E701040 簡易電信設備安裝業；E801030 室內輕鋼架工程業；E801040 玻璃安裝工程業；E801070 廚具、衛浴設備安裝工程業；E903010 防蝕、防銹工程業；E603090 照明設備安裝工程業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,設立,11504
62193354,維文投資股份有限公司,新竹市中正路107號6樓之5,吳柔靜,10000000,115/04/09,,,H201010 一般投資業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,設立,11504
62193404,百益科技有限公司,新竹市香山區東香里美之城200巷20號1樓,王立傑,10000000,115/04/10,,,CC01080 電子零組件製造業；C805990 其他塑膠製品製造業；C805070 強化塑膠製品製造業；C805050 工業用塑膠製品製造業；CB01010 機械設備製造業；C805010 塑膠皮、布、板、管材製造業；E599010 配管工程業；E603010 電纜安裝工程業；E603040 消防安全設備安裝工程業；E603050 自動控制設備工程業,新竹市,設立,11504
62193538,琮發開發工程有限公司,新竹市香山區虎山里延平路二段401巷23號,房琮哲,100000,115/04/10,,,C901030 水泥製造業；C901040 預拌混凝土製造業；C901050 水泥及混凝土製品製造業；CA01020 鋼鐵軋延及擠型業；CZ99990 未分類其他工業製品製造業；E502010 燃料導管安裝工程業；E599010 配管工程業；E601010 電器承裝業；E601020 電器安裝業；E603010 電纜安裝工程業,新竹市,設立,11504
62193615,宇宸電力工程有限公司,新竹市北區境福里成功路95巷15號2樓,鄭沅庭,1000000,115/04/10,,,A102080 園藝服務業；CA02010 金屬結構及建築組件製造業；CC01010 發電、輸電、配電機械製造業；E401010 疏濬業；E502010 燃料導管安裝工程業；E599010 配管工程業；E601010 電器承裝業；E601020 電器安裝業；E603010 電纜安裝工程業；E603040 消防安全設備安裝工程業,新竹市,設立,11504
62193690,輔凰有限公司,新竹市香山區經國路三段36號六樓之2,張家慈,1000000,115/04/13,,,F113020 電器批發業；F119010 電子材料批發業；F213010 電器零售業；F219010 電子材料零售業；F401010 國際貿易業；JA02010 電器及電子產品修理業；JZ99050 仲介服務業；I103060 管理顧問業；I301010 資訊軟體服務業；I301030 電子資訊供應服務業,新竹市,設立,11504
62193707,芸彩薈有限公司,新竹市東區龍山里光復路一段576巷17號,黃正任,500000,115/04/13,,,I101090 食品顧問業；I103060 管理顧問業；IZ12010 人力派遣業；F203010 食品什貨、飲料零售業；F501030 飲料店業；F501060 餐館業；F501990 其他餐飲業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,設立,11504
