統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
00038311,曜宬開發有限公司,新竹縣竹北市斗崙里科大二街141號1樓,黃婕瑀,3000000,113/08/28,115/04/24,一般補正案,H704031 不動產仲介經紀業；H704041 不動產代銷經紀業；H701010 住宅及大樓開發租售業；H701020 工業廠房開發租售業；H701050 投資興建公共建設業；H701060 新市鎮、新社區開發業；H701070 區段徵收及市地重劃代辦業；H703090 不動產買賣業；H703100 不動產租賃業；I102010 一般投資顧問業,新竹縣,變更,11504
00039607,北群土木包工業有限公司,新竹縣湖口鄉鳳山村國強街10號十一樓之3,鄭嚴暐,1000000,113/11/25,115/04/15,公司所在地,E102011 土木包工業；A102080 園藝服務業；E401010 疏濬業；E601010 電器承裝業；E601020 電器安裝業；E604010 機械安裝業；E801010 室內裝潢業；E801020 門窗安裝工程業；E801030 室內輕鋼架工程業；E901010 油漆工程業,新竹縣,變更,11504
00045495,特務傑物業管理顧問有限公司,新竹縣竹北市嘉豐一街101號5樓,林銘傑,10000000,114/02/07,115/04/27,公司名稱變更修正章程,J101010 建築物清潔服務業；J101020 病媒防治業；J101030 廢棄物清除業；J101040 廢棄物處理業；J101080 資源回收業；J101090 廢棄物清理業；F113110 電池批發業；F213110 電池零售業；F107030 清潔用品批發業；F207030 清潔用品零售業,新竹縣,變更,11504
00080696,愛偲科技有限公司,新竹縣竹北市高鐵東二路6號2樓之6,洪領澤,129000000,113/08/20,115/04/14,一般補正案,CC01080 電子零組件製造業；F118010 資訊軟體批發業；F119010 電子材料批發業；F218010 資訊軟體零售業；F219010 電子材料零售業；F601010 智慧財產權業；I103060 管理顧問業；I199990 其他顧問服務業；I301010 資訊軟體服務業；I301020 資料處理服務業,新竹縣,變更,11504
00126291,翔旭投資有限公司,新竹縣竹北市成功八路102號,范志豪,5000000,113/11/08,115/04/17,一般補正案,H201010 一般投資業；H703090 不動產買賣業；H703100 不動產租賃業；H701010 住宅及大樓開發租售業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹縣,變更,11504
00156549,乘逢科技股份有限公司,新竹縣湖口鄉波羅村成功路1280號2樓,洪綺英,10000000,114/01/21,115/04/16,增資(資本總額),F119010 電子材料批發業；F207200 化學原料零售業；C801990 其他化學材料製造業；C801030 精密化學材料製造業；C802160 黏性膠帶製造業；C805050 工業用塑膠製品製造業；F107170 工業助劑批發業；F107990 其他化學製品批發業；F207990 其他化學製品零售業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹縣,變更,11504
00170394,台灣振鑫電子股份有限公司,新竹縣竹北市北崙里博愛街275巷33弄2號2樓,KIM IL,120000000,113/10/18,115/04/15,董事/監察人持股變動報備,CC01080 電子零組件製造業；CC01990 其他電機及電子機械器材製造業；CA04010 表面處理業；CE01990 其他光學及精密器械製造業；E603050 自動控制設備工程業；E604010 機械安裝業；F119010 電子材料批發業；F113030 精密儀器批發業；F113010 機械批發業；F106010 五金批發業,新竹縣,變更,11504
00173603,彥霖化成股份有限公司,新竹縣竹北市高鐵東二路6號5樓之3,黎秋梅,100000,113/08/09,115/04/02,改選董事/監察人(一人法人股東指派董事/監察人),F401010 國際貿易業；F219010 電子材料零售業；F207990 其他化學製品零售業；F207200 化學原料零售業；F207010 漆料、塗料零售業；F213080 機械器具零售業；F107190 塑膠膜、袋批發業；F207190 塑膠膜、袋零售業；F213110 電池零售業；F214010 汽車零售業,新竹縣,變更,11504
00197507,創閎投資開發企業股份有限公司,新竹縣竹北市環北路一段283號五樓,劉驊萱,29000000,113/11/27,115/04/01,變更組織,H201010 一般投資業；H701020 工業廠房開發租售業；H703090 不動產買賣業；H703100 不動產租賃業,新竹縣,變更,11504
00230246,珂恩投資股份有限公司,新竹縣竹北市東興里嘉興路349巷30弄22號一樓,楊宏洲,4000000,113/11/19,115/04/20,一般補正案,H201010 一般投資業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹縣,變更,11504
00247540,卡西法餐飲有限公司,新竹縣竹北市勝利六街66號,陳威儒,1000000,113/12/02,115/04/24,股東出資轉讓修正章程,F501060 餐館業；F501030 飲料店業；F501990 其他餐飲業；F102030 菸酒批發業；F102040 飲料批發業；F102050 茶葉批發業；F102170 食品什貨批發業；F106020 日常用品批發業；F203020 菸酒零售業；F203030 酒精零售業,新竹縣,變更,11504
04231572,萬向股份有限公司,新竹縣新埔鎮照門里8鄰照鏡16號,盧文強,9800000,63/10/17,115/04/24,董事/監察人持股變動報備,,新竹縣,變更,11504
12156196,復盛精密工業股份有限公司,新竹縣寶山鄉工業東九路17號,李亮箴,718500000,67/01/24,115/04/27,改派董事/監察人,CC01080 電子零組件製造業研究、設計、開發、製造及銷售下列產品：1.積體電路導線架2.精密模具3.LED導線架；CA02990 其他金屬製品製造業；CA04010 表面處理業；CB01010 機械設備製造業；CC01110 電腦及其週邊設備製造業；CQ01010 模具製造業,新竹縣,變更,11504
12194656,裕器工業股份有限公司,新竹縣湖口鄉文化路23號,李建輝,194670000,67/09/26,115/04/02,改選董事/監察人(一人法人股東指派董事/監察人),F401021 電信管制射頻器材輸入業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹縣,變更,11504
12246423,景德勝股份有限公司,新竹縣新豐鄉松柏村德昌街228號,張聰海,861405460,68/05/01,115/04/23,改派董事/監察人,G202010 停車場經營業；G801010 倉儲業；IZ06010 理貨包裝業；JE01010 租賃業；F214030 汽、機車零件配備零售業；F114030 汽、機車零件配備批發業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹縣,變更,11504
