統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
62055486,敘映整合行銷有限公司,宜蘭縣五結鄉三興村穀倉路53號1樓,林王天佑,500000,115/05/14,,,JZ99030 攝影業；J503040 廣播電視廣告業；JB01010 會議及展覽服務業；I301020 資料處理服務業；I301010 資訊軟體服務業；I301030 電子資訊供應服務業；I401010 一般廣告服務業；I401020 廣告傳單分送業；I103060 管理顧問業；I199990 其他顧問服務業,宜蘭縣,設立,11505
62055578,派翠斯有限公司,宜蘭縣宜蘭市文化路88之1號,翁意晴,1000000,115/05/14,,,F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F109070 文教、樂器、育樂用品批發業；F102170 食品什貨批發業；F203010 食品什貨、飲料零售業；F113070 電信器材批發業；F107080 環境用藥批發業；F207080 環境用藥零售業；F106020 日常用品批發業；I501010 產品設計業；F399040 無店面零售業,宜蘭縣,設立,11505
62055654,鈦準檢驗股份有限公司,宜蘭縣冬山鄉冬山路五段361號2樓,曾惠茹,1000000,115/05/15,,,IF04010 非破壞檢測業；H201010 一般投資業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,宜蘭縣,設立,11505
62055697,霈行有限公司,宜蘭縣員山鄉惠好村尚惠路52號(1樓),張月娥,100000,115/05/15,,,JZ99050 仲介服務業；F401010 國際貿易業；I199990 其他顧問服務業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,宜蘭縣,設立,11505
62055937,康昱有限公司,宜蘭縣冬山鄉群英村光明路18號,朱文銘,5000000,115/05/18,,,IZ12010 人力派遣業；IZ04010 翻譯業；JZ99050 仲介服務業；I103060 管理顧問業；F401010 國際貿易業；F208040 化粧品零售業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務；IZ99990 其他工商服務業；J602010 演藝活動業；JE01010 租賃業,宜蘭縣,設立,11505
62055943,金典貴金屬有限公司,宜蘭縣蘇澳鎮民富街56號1樓,林資敏,500000,115/05/18,,,F215010 首飾及貴金屬零售業；F115010 首飾及貴金屬批發業；F215020 礦石零售業；F115020 礦石批發業；CG01010 珠寶及貴金屬製品製造業；I501010 產品設計業；I599990 其他設計業；F401010 國際貿易業；F399040 無店面零售業；F210010 鐘錶零售業,宜蘭縣,設立,11505
62056393,歐格寵物數據行銷股份有限公司,宜蘭縣五結鄉四結村中興路三段25號1樓,余玥彤,200000,115/05/19,,,I103060 管理顧問業；I199990 其他顧問服務業；I301010 資訊軟體服務業；I301020 資料處理服務業；I301030 電子資訊供應服務業；I401010 一般廣告服務業；IZ99990 其他工商服務業；I501010 產品設計業；JB01010 會議及展覽服務業；J202010 產業育成業,宜蘭縣,設立,11505
62056577,碩煇睿工程有限公司,宜蘭縣羅東鎮羅莊里站東路176號一樓,許文華,1008888,115/05/19,,,A101020 農作物栽培業；A101050 花卉栽培業；A102020 農產品整理業；A102050 作物栽培服務業；A102080 園藝服務業；A199990 其他農業；A201010 造林業；B201010 金屬礦業；B202010 非金屬礦業；B601010 土石採取業,宜蘭縣,設立,11505
62059027,糧牧生技有限公司,宜蘭縣礁溪鄉玉石村礁溪路六段133巷18號一樓,羅映蓁,100000,115/05/22,,,F102040 飲料批發業；F102170 食品什貨批發業；F106020 日常用品批發業；F108040 化粧品批發業；F203010 食品什貨、飲料零售業；F206020 日常用品零售業；F208040 化粧品零售業；F399040 無店面零售業；F399990 其他綜合零售業；F401010 國際貿易業,宜蘭縣,設立,11505
62059103,大華動能有限公司,宜蘭縣五結鄉四結村中興路三段308號1樓,何宗祐,1000000,115/05/22,,,F113110 電池批發業；F213110 電池零售業；F114030 汽、機車零件配備批發業；F214030 汽、機車零件配備零售業；F106010 五金批發業；F206010 五金零售業；F113020 電器批發業；F213010 電器零售業；F113030 精密儀器批發業；F213040 精密儀器零售業,宜蘭縣,設立,11505
62059618,蘭流藝文有限公司,宜蘭縣宜蘭市神農里13鄰宜興路一段81巷3號1樓,李翊華,50000,115/05/26,,,J601010 藝文服務業；J602010 演藝活動業；JB01010 會議及展覽服務業；JZ99090 喜慶綜合服務業；JE01010 租賃業；JZ99030 攝影業；J802010 運動訓練業；F109070 文教、樂器、育樂用品批發業；F209060 文教、樂器、育樂用品零售業；F399040 無店面零售業,宜蘭縣,設立,11505
62059841,紘玖國際租賃有限公司,宜蘭縣礁溪鄉德陽路200號5樓之3,陳笑雲,5000000,115/05/27,,,G101041 小客車租賃業；G202010 停車場經營業；F114010 汽車批發業；F114030 汽、機車零件配備批發業；F114050 車胎批發業；F114990 其他交通運輸工具及其零件批發業；F214010 汽車零售業；F214030 汽、機車零件配備零售業；F214050 車胎零售業；F214990 其他交通運輸工具及其零件零售業,宜蘭縣,設立,11505
62059856,嶼石室內裝修設計有限公司,宜蘭縣羅東鎮東安里光榮路495號8樓之2,王宇涵,500000,115/05/27,,,E801060 室內裝修業；E801010 室內裝潢業；I503010 景觀設計業；F211010 建材零售業；F111090 建材批發業；F105050 家具、寢具、廚房器具、裝設品批發業；F106010 五金批發業；F205040 家具、寢具、廚房器具、裝設品零售業；F206010 五金零售業；F401010 國際貿易業,宜蘭縣,設立,11505
62060191,立瀞建設有限公司,宜蘭縣宜蘭市南門里西後街11號一樓,游凱傑,2000000,115/05/28,,,H201010 一般投資業；H701010 住宅及大樓開發租售業；H701020 工業廠房開發租售業；H702010 建築經理業；H703090 不動產買賣業；H703100 不動產租賃業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,宜蘭縣,設立,11505
62087826,茂苑有限公司,宜蘭縣蘇澳鎮馬賽路397巷6號3樓,蔡宏裕,100000,115/05/20,,,F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F105050 家具、寢具、廚房器具、裝設品批發業；F106020 日常用品批發業；F113020 電器批發業；F204110 布疋、衣著、鞋、帽、傘、服飾品零售業；F205040 家具、寢具、廚房器具、裝設品零售業；F206020 日常用品零售業；F213010 電器零售業；F401010 國際貿易業；I102010 一般投資顧問業,宜蘭縣,設立,11505
62087918,馫序集創意料理有限公司,宜蘭縣壯圍鄉永美路二段17巷12號,吳俊忠,200000,115/05/20,,,F501030 飲料店業；F501060 餐館業；F501990 其他餐飲業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,宜蘭縣,設立,11505
62088233,重力機械有限公司,宜蘭縣宜蘭市進士里進士路二段453號一樓,李勲朋,2600000,115/05/21,,,CC01010 發電、輸電、配電機械製造業；CC01080 電子零組件製造業；CC01110 電腦及其週邊設備製造業；CC01990 其他電機及電子機械器材製造業；CB01010 機械設備製造業；CB01990 其他機械製造業；F113010 機械批發業；F113030 精密儀器批發業；F113990 其他機械器具批發業；F213040 精密儀器零售業,宜蘭縣,設立,11505
62088276,富可建設有限公司,宜蘭縣頭城鎮協天路791號2樓之3,楊品潔,5000000,115/05/21,,,H701010 住宅及大樓開發租售業；H701020 工業廠房開發租售業；H701050 投資興建公共建設業；H701060 新市鎮、新社區開發業；H701070 區段徵收及市地重劃代辦業；H702010 建築經理業；H703090 不動產買賣業；H703100 不動產租賃業；E801010 室內裝潢業；E599010 配管工程業,宜蘭縣,設立,11505
62206148,松竹梅事業有限公司,宜蘭縣礁溪鄉德陽路8巷1號2-3樓,高榮輝,200000,115/04/29,,,J701030 視聽歌唱業；F203020 菸酒零售業；F501060 餐館業；F501050 飲酒店業；F203010 食品什貨、飲料零售業；F109070 文教、樂器、育樂用品批發業；F209060 文教、樂器、育樂用品零售業；JZ99090 喜慶綜合服務業；I401010 一般廣告服務業；F399990 其他綜合零售業,宜蘭縣,設立,11505
62206479,嘉簡福管理顧問股份有限公司,宜蘭縣五結鄉大吉三路208巷1號,林勇孚,1000000,115/04/30,,,H204010 私募股權投資業；H202010 創業投資業；H201010 一般投資業,宜蘭縣,設立,11505
62206652,融域國際有限公司,宜蘭縣冬山鄉中山村中山路768巷11號1樓,林祖融,400000,115/05/04,,,F102040 飲料批發業；F102030 菸酒批發業；F102170 食品什貨批發業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F105050 家具、寢具、廚房器具、裝設品批發業；F106010 五金批發業；F106020 日常用品批發業；F106030 模具批發業；F106050 陶瓷玻璃器皿批發業；F106060 寵物食品及其用品批發業,宜蘭縣,設立,11505
