統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
62055330,郁凱工程股份有限公司,新竹縣竹北市竹仁里文明街59號1樓,戴百苡,100000,115/05/14,,,E101011 綜合營造業；E599010 配管工程業；H701010 住宅及大樓開發租售業；I503010 景觀、室內設計業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹縣,設立,11505
62055367,昱承國際投資有限公司,新竹縣竹北市福德里1鄰三民路288巷6號,吳宇峰,5000000,115/05/14,,,H201010 一般投資業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹縣,設立,11505
62055373,金鑽飯桶有限公司,新竹縣竹東鎮長春路二段114號,蕭楷曄,1000000,115/05/14,,,F102040 飲料批發業；F102170 食品什貨批發業；F203010 食品什貨、飲料零售業；F203020 菸酒零售業；F399040 無店面零售業；F501060 餐館業；F501990 其他餐飲業；I101090 食品顧問業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹縣,設立,11505
62055556,士承國際股份有限公司,新竹縣竹北市勝利一路109號12樓,黃大維,2000000,115/05/14,,,H201010 一般投資業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹縣,設立,11505
62055606,百璞股份有限公司,新竹縣竹北市東海里東興路二段36號1樓,黃柏儒,1000000,115/05/15,,,D301010 自來水經營業；F106040 水器材料批發業；F206040 水器材料零售業；F106010 五金批發業；F105050 家具、寢具、廚房器具、裝設品批發業；F206010 五金零售業；F206020 日常用品零售業；F211010 建材零售業；E599010 配管工程業；E601020 電器安裝業,新竹縣,設立,11505
62055704,唯覓芯品有限公司,新竹縣湖口鄉達生八街87號,曾有維,150000,115/05/15,,,F215010 首飾及貴金屬零售業；F215020 礦石零售業；F115010 首飾及貴金屬批發業；F115020 礦石批發業；F105050 家具、寢具、廚房器具、裝設品批發業；F205040 家具、寢具、廚房器具、裝設品零售業；F299990 其他零售業；F399040 無店面零售業；F401010 國際貿易業；F106020 日常用品批發業,新竹縣,設立,11505
62055916,御禾管理顧問有限公司,新竹縣竹北市鹿場里自強五路253號1樓,鄭雅玲,40000000,115/05/18,,,H201010 一般投資業；H202010 創業投資業；H701010 住宅及大樓開發租售業；H701020 工業廠房開發租售業；H702010 建築經理業；H703090 不動產買賣業；H703100 不動產租賃業；I102010 一般投資顧問業；I103060 管理顧問業；I105010 藝術品諮詢顧問業,新竹縣,設立,11505
62055985,華恩生活科技有限公司,新竹縣竹北市光明六路303-1號,李華寧,100000,115/05/18,,,F106020 日常用品批發業；F205040 家具、寢具、廚房器具、裝設品零售業；F206010 五金零售業；F206020 日常用品零售業；F213010 電器零售業；JA02010 電器及電子產品修理業；JE01010 租賃業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹縣,設立,11505
62055991,禹曜科技有限公司,新竹縣竹北市自強南路8號8樓之9,黃隆健,500000,115/05/18,,,F113030 精密儀器批發業；I501010 產品設計業；F119010 電子材料批發業；F401010 國際貿易業；EZ05010 儀器、儀表安裝工程業；E603050 自動控制設備工程業；F213040 精密儀器零售業；F219010 電子材料零售業；F118010 資訊軟體批發業；F113070 電信器材批發業,新竹縣,設立,11505
62056149,元鈺財富有限公司,新竹縣竹北市中正東路240巷7弄7號,林元奎,50000,115/05/18,,,H201010 一般投資業；H202010 創業投資業,新竹縣,設立,11505
62056176,安衡生物科技有限公司,新竹縣湖口鄉東興村德和路76巷38弄1號,黃國峻,500000,115/05/19,,,F107200 化學原料批發業；F113030 精密儀器批發業；F118010 資訊軟體批發業；F119010 電子材料批發業；F207200 化學原料零售業；F213040 精密儀器零售業；F218010 資訊軟體零售業；F219010 電子材料零售業；F401010 國際貿易業；IG01010 生物技術服務業,新竹縣,設立,11505
62056247,可鹽可甜烘焙有限公司,新竹縣竹北市東興里勝利八街二段109號1樓,彭亭潔,3000000,115/05/19,,,C104020 烘焙炊蒸食品製造業；C199030 即食餐食製造業；C102010 乳品製造業；C110010 飲料製造業；F501060 餐館業；F501030 飲料店業；JZ99090 喜慶綜合服務業；I101090 食品顧問業；F399040 無店面零售業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹縣,設立,11505
