統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
00018173,留白創研有限公司,宜蘭縣宜蘭市和睦路90-2號,陳品旭,400000,,115/06/17,公司所在地,I301010 資訊軟體服務業；E801010 室內裝潢業；E801020 門窗安裝工程業；E801030 室內輕鋼架工程業；E801040 玻璃安裝工程業；E901010 油漆工程業；E903010 防蝕、防銹工程業；F111090 建材批發業；F211010 建材零售業；H703090 不動產買賣業,宜蘭縣,變更,11506
00050216,駿笙國際有限公司,宜蘭縣壯圍鄉永美路2段62巷17弄22號,沈東駿,1000000,,115/06/18,公司所在地,I401010 一般廣告服務業；I503010 景觀、室內設計業；I504010 花藝設計業；J601010 藝文服務業；JE01010 租賃業；EZ99990 其他工程業；JZ99090 喜慶綜合服務業；F106010 五金批發業；F111090 建材批發業；F206010 五金零售業,宜蘭縣,變更,11506
00138331,好自然露營場有限公司,宜蘭縣三星鄉貴林村富貴二路520號,李柏羲,5000000,,115/06/18,公司所在地,J799990 其他休閒服務業；F501060 餐館業；F203010 食品什貨、飲料零售業；F203020 菸酒零售業；F204110 布疋、衣著、鞋、帽、傘、服飾品零售業；F205040 家具、寢具、廚房器具、裝設品零售業；F206020 日常用品零售業；F109070 文教、樂器、育樂用品批發業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F105050 家具、寢具、廚房器具、裝設品批發業,宜蘭縣,變更,11506
00148725,誠興空調工程有限公司,宜蘭縣宜蘭市嵐峰路三段102巷8號五樓,鄭培宣,1100000,,115/06/08,一般補正案,E601010 電器承裝業；E601020 電器安裝業；F113020 電器批發業；EZ15010 保溫、保冷安裝工程業；E599010 配管工程業；F113010 機械批發業；E603110 冷作工程業；JA02010 電器及電子產品修理業；E604010 機械安裝業；E603010 電纜安裝工程業,宜蘭縣,變更,11506
12844743,光貝通訊工程有限公司,宜蘭縣宜蘭市文化里15鄰民族路314號7樓,吳聰馳,1000000,,115/06/08,一般補正案,E603050 自動控制設備工程業；E603040 消防安全設備安裝工程業；E603080 交通號誌安裝工程業；E605010 電腦設備安裝業；E601020 電器安裝業；F213060 電信器材零售業；F218010 資訊軟體零售業；F218010 資訊軟體零售業,宜蘭縣,變更,11506
12848001,程觀鋼構股份有限公司,宜蘭縣員山鄉員山路1段887號1樓,楊智涵,120000000,,115/06/08,一般補正案,A102080 園藝服務業；CA01050 鋼材二次加工業；CA02010 金屬結構及建築組件製造業；CA02060 金屬容器製造業；CA02990 其他金屬製品製造業；CA03010 熱處理業；CA04010 表面處理業；CB01010 機械設備製造業；E599010 配管工程業；E603020 電梯安裝工程業,宜蘭縣,變更,11506
16061994,噶瑪蘭小客車租賃有限公司,宜蘭縣羅東鎮信義里興東路263號5樓之5,賴嘉樑,10000000,,115/06/15,股東出資轉讓修正章程,G101041 小客車租賃業,宜蘭縣,變更,11506
16352177,勝嘉貨運有限公司,宜蘭縣宜蘭市西門里城隍街124號,顏再春,25000000,,115/06/17,股東出資轉讓修正章程,,宜蘭縣,變更,11506
16545838,益興小客車租賃有限公司,宜蘭縣羅東鎮南豪里中正南路63-3號1樓,李國瑛,10000000,,115/06/16,一般補正案,G101041 小客車租賃業；JA02020 機車修理業；JA02030 自行車修理業；JE01010 租賃業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,宜蘭縣,變更,11506
16580150,恆興機械有限公司,宜蘭縣冬山鄉香南路327號一樓,江知成,5000000,,115/06/12,一般補正案,CA01050 鋼材二次加工業；CA02010 金屬結構及建築組件製造業；CB01010 機械設備製造業；CB01030 污染防治設備製造業；CB01990 其他機械製造業；CC01010 發電、輸電、配電機械製造業；CD01010 船舶及其零件製造業；E603050 自動控制設備工程業；E603090 照明設備安裝工程業；E603100 電焊工程業,宜蘭縣,變更,11506
16735746,阿爾法科技創意有限公司,宜蘭縣員山鄉永和村永廣路28-28號1樓,林世軒,1000000,,115/06/18,股東出資轉讓修正章程,CB01010 機械設備製造業。；E603050 自動控制設備工程業。；E603100 電焊工程業。；F113010 機械批發業。；F113020 電器批發業。；F112030 精密儀器批發業。；F113070 電信器材批發業。；F212050 石油製品零售業。,宜蘭縣,變更,11506
22384487,宜蘭大理石股份有限公司,宜蘭縣冬山鄉安平村大安路521巷66號,陳政隆,17980000,,115/06/09,公司所在地,C901030 水泥製造業；F111020 水泥、石灰及其製品批發業；F211010 建材零售業；F401030 製造輸出業,宜蘭縣,變更,11506
23276303,川福企業股份有限公司,宜蘭縣羅東鎮大新里站前路18號,吳進東,5000000,,115/06/26,補選董事(常務董事.董事長)/監察人,,宜蘭縣,變更,11506
23841820,彥韋營造工程股份有限公司,宜蘭縣羅東鎮賢文里純精路二段203號2樓,游啓東,344000000,,115/06/02,一般補正案,E101011 綜合營造業；J601010 藝文服務業；J602010 演藝活動業；J603010 音樂展演空間業；J701020 遊樂園業；J701040 休閒活動場館業；J701080 水域遊憩活動經營業；J799990 其他休閒服務業；J801030 競技及休閒運動場館業；J901020 一般旅館業,宜蘭縣,變更,11506
23986178,宜進鋼鐵工業股份有限公司,宜蘭縣蘇澳鎮龍德里龍祥一路6之1號,蘇晉慶,19200000,,115/06/17,改選董事/監察人(一人法人股東指派董事/監察人),,宜蘭縣,變更,11506
24304572,永讚投資有限公司,宜蘭縣礁溪鄉健康路50號7樓之5,陳邱秀美,12480000,,115/06/18,補繳規費,H201010 一般投資業,宜蘭縣,變更,11506
24434717,利澤玻璃股份有限公司,宜蘭縣蘇澳鎮頂寮里蘇濱路三段132號三樓之2,胡飛虎,15000000,,115/06/03,公司所在地,C103050 罐頭、冷凍、脫水及醃漬食品製造業；C199990 未分類其他食品製造業；C201010 飼料製造業；C801110 肥料製造業；C901020 玻璃及玻璃製品製造業；C901990 其他非金屬礦物製品製造業；CE01990 其他光學及精密器械製造業；E801040 玻璃安裝工程業；F101050 水產品批發業；F101990 其他農、畜、水產品批發業,宜蘭縣,變更,11506
25179755,宥隆重機械有限公司,宜蘭縣蘇澳鎮蘇東北路1之3號一樓,林燦欽,5500000,,115/06/23,股東出資轉讓修正章程,EZ02010 起重工程業；E401010 疏濬業；E402010 沙石、淤泥海拋業；F113010 機械批發業；F213080 機械器具零售業；IZ99990 其他工商服務業；EZ99990 其他工程業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,宜蘭縣,變更,11506
27328302,全球聯網時報網路商務股份有限公司,宜蘭縣宜蘭市成功里中興路147號1樓,林正龍,27000000,,115/06/25,一般補正案,G801010 倉儲業；I102010 投資顧問業；I103060 管理顧問業；I301010 資訊軟體服務業；I301020 資料處理服務業；I301030 電子資訊供應服務業；I401010 一般廣告服務業；I401020 廣告傳單分送業；I501010 產品設計業；IZ01010 影印業,宜蘭縣,變更,11506
27718174,科本生物科技股份有限公司,宜蘭縣羅東鎮純精路三段25號,廖珮如,1000000,,115/06/01,改選董事/監察人(一人法人股東指派董事/監察人),IG01010 生物技術服務業；I101090 食品顧問業；F203010 食品什貨、飲料零售業；F299990 其他零售業；F102170 食品什貨批發業；JZ99990 未分類其他服務業；I103060 管理顧問業；IG02010 研究發展服務業；F401010 國際貿易業；JE01010 租賃業,宜蘭縣,變更,11506
27733750,暐長企業股份有限公司,宜蘭縣冬山鄉大興村德興四路15號,蔡瑞祥,19500000,,115/06/10,改選董事/監察人(一人法人股東指派董事/監察人),C803990 其他石油及煤製品製造業；C901040 預拌混凝土製造業；F106010 五金批發業；F111090 建材批發業；F401010 國際貿易業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,宜蘭縣,變更,11506
27762488,比萊富投資有限公司,宜蘭縣員山鄉金泰村金山東路385巷16號,林錦芳,5000000,,115/06/29,公司遷址修正章程,H201010 一般投資業,宜蘭縣,變更,11506
28035584,東山林開發事業股份有限公司,宜蘭縣冬山鄉武淵一路61號,郭濟安,2363949800,,115/06/10,發行新股,E599010 配管工程業；J101060 廢（污）水處理業；J101990 其他環境衛生及污染防治服務業；H701050 投資興建公共建設業；E603040 消防安全設備安裝工程業；E604010 機械安裝業；J101030 廢棄物清除業；J101040 廢棄物處理業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務；J901020 一般旅館業,宜蘭縣,變更,11506
28043579,嵩達光電科技股份有限公司,宜蘭縣冬山鄉大興村德興四路9號,林以山,292972900,,115/06/04,一般補正案,CB01010 機械設備製造業；CC01010 發電、輸電、配電機械製造業；CC01030 電器及視聽電子產品製造業；CC01080 電子零組件製造業；CC01110 電腦及其週邊設備製造業；CC01120 資料儲存媒體製造及複製業；CC01990 其他電機及電子機械器材製造業；E603050 自動控制設備工程業；F113010 機械批發業；F113020 電器批發業,宜蘭縣,變更,11506
28115192,鑫林生醫股份有限公司,宜蘭縣宜蘭市宜科東路5號5樓之1,張俊傑,8000000,,115/06/15,改選董事/監察人(一人法人股東指派董事/監察人),A102020 農產品整理業；F401010 國際貿易業；C199990 未分類其他食品製造業；I101090 食品顧問業；I101070 農、林、漁、畜牧顧問業；IG01010 生物技術服務業研究、設計、開發、製造及銷售下列產品：1.台灣綠蜂膠萃取與應用2.蜂王乳之濃縮與應用3.其他蜂產品銷售與應用,宜蘭縣,變更,11506
