統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
00003262,上日十先生有限公司,桃園市桃園區青溪三路10號,卓少凱,1000000,,115/06/12,一般補正案,F299990 其他零售業；J503050 錄影節目帶業；F501030 飲料店業；F501990 其他餐飲業；F399990 其他綜合零售業；F203010 食品什貨、飲料零售業；F205040 家具、寢具、廚房器具、裝設品零售業；F206010 五金零售業；F206020 日常用品零售業,桃園市,變更,11506
00009505,品岳工程有限公司,桃園市龍潭區高平里中豐路高平段123巷110號,莊岳洋,1000000,,115/06/26,公司所在地,E801020 門窗安裝工程業；E801040 玻璃安裝工程業；E801010 室內裝潢業；E603100 電焊工程業；E604010 機械安裝業；E903010 防蝕、防銹工程業；E801070 廚具、衛浴設備安裝工程業；E603090 照明設備安裝工程業；F211010 建材零售業；F111090 建材批發業,桃園市,變更,11506
00016479,中井機電工程有限公司,桃園市桃園區中德里桃德路127巷49號(1樓),駱毅恒,3100000,,115/06/25,增資,E599010 配管工程業；E601010 電器承裝業；E601020 電器安裝業；E603010 電纜安裝工程業；E603040 消防安全設備安裝工程業；E603050 自動控制設備工程業；E603090 照明設備安裝工程業；E604010 機械安裝業；EZ05010 儀器、儀表安裝工程業；F106010 五金批發業,桃園市,變更,11506
00040338,和川企業有限公司,桃園市中壢區新街里11鄰環北路398號5樓之6,張順平,2000000,,115/06/25,公司所在地,IZ12010 人力派遣業；I103060 管理顧問業；IZ06010 理貨包裝業；J101010 建築物清潔服務業；J101030 廢棄物清除業；J101040 廢棄物處理業；JZ99050 仲介服務業；JZ99990 未分類其他服務業；J101110 營建剩餘土石方資源處理業；J101120 營建混合物分類處理業,桃園市,變更,11506
00040457,以亞斯不動產有限公司,桃園市觀音區樹林里民生路53號,黃進生,700000,,115/06/15,公司所營事業變更修正章程,H704031 不動產仲介經紀業；JE01010 租賃業；JZ99050 仲介服務業；H703100 不動產租賃業；E801010 室內裝潢業；E901010 油漆工程業；F105050 家具、寢具、廚房器具、裝設品批發業；I103060 管理顧問業；I102010 一般投資顧問業；I401010 一般廣告服務業,桃園市,變更,11506
00043237,小太陽廣告設計顧問股份有限公司,桃園市中壢區龍慈里龍和一街249巷5號7樓,金曉梅,1000000,,115/06/11,一般補正案,I401010 一般廣告服務業；I401020 廣告傳單分送業；I501010 產品設計業；I503010 景觀、室內設計業；I301010 資訊軟體服務業；I301020 資料處理服務業；I301030 電子資訊供應服務業；I599990 其他設計業；IZ15010 市場研究及民意調查業；H201010 一般投資業,桃園市,變更,11506
00044881,巴躍管理顧問有限公司,桃園市中壢區環中東路268號及268號2樓,劉芸秀,15000000,,115/06/03,增資,H703100 不動產租賃業；I103060 管理顧問業；F208040 化粧品零售業；F108031 醫療器材批發業；F208031 醫療器材零售業；JE01010 租賃業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,桃園市,變更,11506
00058842,明偉消防機電工程有限公司,桃園市八德區豐田二路38號15樓之2,蕭雅云,300000,,115/06/18,公司所在地,E603040 消防安全設備安裝工程業；F117010 消防安全設備批發業；F217010 消防安全設備零售業；IF01010 消防安全設備檢修業；F106010 五金批發業；F206010 五金零售業；F199990 其他批發業；F399990 其他綜合零售業；E599010 配管工程業；EZ99990 其他工程業,桃園市,變更,11506
00069123,宥懋有限公司,桃園市中壢區龍岡里龍岡路三段440巷25號(1樓),董清玉,1000000,,115/06/30,股東出資轉讓修正章程,CA01020 鋼鐵軋延及擠型業；CA01050 鋼材二次加工業；CA01030 鋼鐵鑄造業；F113010 機械批發業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,桃園市,變更,11506
00071198,昱泰實業有限公司,桃園市楊梅區中山里中山北路一段2號,劉昱良,1900000,,115/06/10,一般補正案,E599010 配管工程業；E601010 電器承裝業；E601020 電器安裝業；E603010 電纜安裝工程業；E603020 電梯安裝工程業；E603040 消防安全設備安裝工程業；E603100 電焊工程業；E604010 機械安裝業；E606010 用電設備檢驗維護業；E701010 電信工程業,桃園市,變更,11506
