統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
24998314,信順報關有限公司,桃園市大園區航翔路101號5樓T5024C室,謝岳洲,5000000,115/05/29,,,G701011 報關業；G601011 航空貨運承攬業；G799990 其他運輸輔助業；F401010 國際貿易業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,桃園市,設立,11506
24998320,睿達物流股份有限公司,桃園市大園區航翔路101號4樓T4058室,高颽,7500000,115/06/03,,,G601011 航空貨運承攬業；F401010 國際貿易業；G402011 海運承攬運送業；IZ06010 理貨包裝業；E604010 機械安裝業；E801010 室內裝潢業；EZ02010 起重工程業；G799990 其他運輸輔助業；G801010 倉儲業；I103060 管理顧問業,桃園市,設立,11506
62056892,韓商梯艾克斯爾智慧機器人股份有限公司,桃園市大園區中山南路2段206號2樓,KIM KI HWAN,600000,115/06/25,,,CB01010 機械設備製造業；CB01990 其他機械製造業；CC01010 發電、輸電、配電機械製造業；CC01080 電子零組件製造業；E603050 自動控制設備工程業；E604010 機械安裝業；F113010 機械批發業；F401010 國際貿易業；I301010 資訊軟體服務業；I301020 資料處理服務業,桃園市,設立,11506
62057962,全堃資源再生有限公司,桃園市桃園區藝文里中正路1092號26樓,林弘龍,1000000,115/05/28,,,C901050 水泥及混凝土製品製造業；C901990 其他非金屬礦物製品製造業；J101010 建築物清潔服務業；J101030 廢棄物清除業；J101080 資源回收業；J101090 廢棄物清理業；J101040 廢棄物處理業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,桃園市,設立,11506
62058006,全磐預拌混凝土有限公司,桃園市桃園區藝文里中正路1092號26樓,馬家駿,1000000,115/05/29,,,B202010 非金屬礦業；B601010 土石採取業；C901040 預拌混凝土製造業；C901050 水泥及混凝土製品製造業；C901070 石材製品製造業；C901990 其他非金屬礦物製品製造業；F111090 建材批發業；F211010 建材零售業；F401010 國際貿易業；J101030 廢棄物清除業,桃園市,設立,11506
62058049,定鼎起重有限公司,桃園市觀音區富源里新富路96巷58號(1樓),張昱騰,250000,115/05/29,,,A102080 園藝服務業；E599010 配管工程業；E603080 交通號誌安裝工程業；E604010 機械安裝業；E701010 電信工程業；EZ02010 起重工程業；EZ06010 交通標示工程業；EZ99990 其他工程業；F211010 建材零售業；IZ12010 人力派遣業,桃園市,設立,11506
62058097,慶弘車業有限公司,桃園市平鎮區平鎮里陸橋南路81號（1樓）,林冠宇,1000000,115/05/29,,,F114030 汽、機車零件配備批發業；F206040 水器材料零售業；F214030 汽、機車零件配備零售業；F114040 自行車及其零件批發業；F114020 機車批發業；F214020 機車零售業；F205040 家具、寢具、廚房器具、裝設品零售業；F399040 無店面零售業；F401010 國際貿易業；F106040 水器材料批發業,桃園市,設立,11506
62058110,帝威不動產開發有限公司,桃園市龍潭區中豐路中山段169號,盧慧君,1000000,115/05/29,,,H704031 不動產仲介經紀業；H704041 不動產代銷經紀業；C701010 印刷業；E801010 室內裝潢業；E801020 門窗安裝工程業；E901010 油漆工程業；E903010 防蝕、防銹工程業；F211010 建材零售業；H701010 住宅及大樓開發租售業；H703100 不動產租賃業,桃園市,設立,11506
62058126,勝楙生鮮有限公司,桃園市桃園區介壽路495巷67號十四樓,王育箐,500000,115/05/29,,,F101130 蔬果批發業；F201010 農產品零售業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,桃園市,設立,11506
62058131,宥葳國際人力仲介有限公司,桃園市桃園區民安路96號3樓,王邑崴,5000000,115/05/29,,,C103050 罐頭、冷凍、脫水及醃漬食品製造業；CC01010 發電、輸電、配電機械製造業；F101050 水產品批發業；F101990 其他農、畜、水產品批發業；F113010 機械批發業；F113030 精密儀器批發業；F113990 其他機械器具批發業；F199990 其他批發業；F201030 水產品零售業；F201990 其他農畜水產品零售業,桃園市,設立,11506
