統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
62056725,日商庫也股份有限公司,臺北市中山區南京東路三段189號10樓,久保田令,5000000,115/06/17,,,C102010 乳品製造業；C104020 烘焙炊蒸食品製造業；C199990 未分類其他食品製造業；C103050 罐頭、冷凍、脫水及醃漬食品製造業；C104010 糖果製造業；F102170 食品什貨批發業；F201010 農產品零售業；F201990 其他農畜水產品零售業；F203010 食品什貨、飲料零售業；F299990 其他零售業,臺北市,設立,11506
62056767,薩摩亞商亞創士有限公司,臺北市中山區吉林路410號,黃士科,0,115/06/17,,,,臺北市,設立,11506
62056773,香港商燭間藝文有限公司,臺北市松山區吉祥里南京東路5段70號5樓之2,孟祥瑜,500000,115/06/24,,,J601010 藝文服務業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,臺北市,設立,11506
62056788,法商阿爾卡特海底網絡股份有限公司,臺北市信義區忠孝東路4段563號11樓,"Vincent,Robert,Pierre LARA",500000,115/06/22,,,F213990 其他機械器具零售業；E603010 電纜安裝工程業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,臺北市,設立,11506
62056823,香港商立研皮革有限公司,臺北市中山區南京西路1-1號10樓,譚詠兒,1500000,115/06/25,,,F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F204110 布疋、衣著、鞋、帽、傘、服飾品零售業；F401010 國際貿易業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,臺北市,設立,11506
62056865,馬來西亞商訥蒔控股有限公司,臺北市信義區信義路5段150巷2號12樓之4,莫巴頓,1000000,115/06/24,,,F401010 國際貿易業；F114050 車胎批發業；F114030 汽、機車零件配備批發業；F199990 其他批發業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,臺北市,設立,11506
62056886,新加坡商安萊德遷移服務有限公司,臺北市中山區復興北路62號9樓之1,Premilla Thiruganaselva m,1900000,115/06/30,,,G799990 其他運輸輔助業；I103060 管理顧問業；I199990 其他顧問服務業；JE01010 租賃業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,臺北市,設立,11506
62056957,香港商翠峰新能源服務有限公司,臺北市信義區松仁路97號18樓,Sandeep Kumar SHARMA,100000,115/06/29,,,IG03010 能源技術服務業；H201010 一般投資業；I103060 管理顧問業；F401010 國際貿易業；IZ12010 人力派遣業；IZ99990 其他工商服務業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,臺北市,設立,11506
62058815,三合資本股份有限公司,臺北市中山區遼寧街57號1樓,吳彥廷,5000000,115/06/01,,,H201010 一般投資業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,臺北市,設立,11506
62058842,輝潤生技股份有限公司,臺北市大安區忠孝東路4段221號12樓,陳芳薇,2000000,115/06/02,,,F102040 飲料批發業；F102170 食品什貨批發業；F107200 化學原料批發業；F202010 飼料零售業；F203010 食品什貨、飲料零售業；F401010 國際貿易業；I101090 食品顧問業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,臺北市,設立,11506
62062938,神彩廣告行銷有限公司,臺北市中正區開封街1段32號11樓,蔡佳儒,500000,115/06/11,,,F399040 無店面零售業；F401010 國際貿易業；I401010 一般廣告服務業；J503040 廣播電視廣告業；JE01010 租賃業；JZ99050 仲介服務業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,臺北市,設立,11506
62062971,宇逸顧問有限公司,臺北市中正區重慶南路1段57號10樓之17,林弘昌,50000,115/06/11,,,H201010 一般投資業；H202010 創業投資業；I102010 一般投資顧問業；I103060 管理顧問業；I199990 其他顧問服務業；I301010 資訊軟體服務業；I301020 資料處理服務業；I301030 電子資訊供應服務業；IZ99990 其他工商服務業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,臺北市,設立,11506
