統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
00068583,永光興實業股份有限公司,基隆市信義區信一路120號,林正常,144000000,54/12/24,115/07/17,改選董事/監察人(一人法人股東指派董事/監察人),,基隆市,變更,11507
00665379,蓬萊通運股份有限公司,基隆市仁愛區育仁里南榮路279巷5-1號(1樓),謝宏隆,9000000,63/12/20,115/07/14,一般補正案,G401011 船務代理業；G406051 商港區船舶理貨業；JE01010 租賃業；IZ06010 理貨包裝業；F214060 船舶及其零件零售業；F401010 國際貿易業；G405010 貨櫃出租業；G702010 船舶勞務承攬業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,基隆市,變更,11507
00706219,台灣長新股份有限公司,基隆市七堵區工建南路19號,長保行,89400000,65/06/29,115/07/07,一般補正案,,基隆市,變更,11507
03098301,中華貿易開發股份有限公司,基隆市七堵區八德里八德路3之1號,張正清,655200000,54/10/19,115/07/09,改選董事/監察人(一人法人股東指派董事/監察人),A102060 糧商業；F114060 船舶及其零件批發業；F201010 農產品零售業；I301010 資訊軟體服務業；I503010 景觀、室內設計業；J701040 休閒活動場館業；F111090 建材批發業；G404011 貨櫃集散站經營業；G801010 倉儲業；IZ06010 理貨包裝業,基隆市,變更,11507
04200199,陽明海運股份有限公司,基隆市七堵區明德一路271號,蔡豐明,34921042700,61/12/29,115/07/14,改派董事/監察人,G402011 海運承攬運送業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,基隆市,變更,11507
04698269,中國端子電業股份有限公司,基隆市七堵區六堵里工建路1-7號,謝春輝,855000000,63/01/15,115/07/14,改選董事/監察人(一人法人股東指派董事/監察人),C804020 工業用橡膠製品製造業；C805050 工業用塑膠製品製造業；CB01010 機械設備製造業；CC01010 發電、輸電、配電機械製造業；CC01020 電線及電纜製造業；CC01030 電器及視聽電子產品製造業；CC01040 照明設備製造業；CC01060 有線通信機械器材製造業；CC01070 無線通信機械器材製造業；CC01080 電子零組件製造業,基隆市,變更,11507
12661764,廣暢包裝機械有限公司,基隆市暖暖區八南里八堵路123號一樓,連晨賀,5000000,89/11/04,115/07/27,公司遷址修正章程,F113010 機械批發業；F113030 精密儀器批發業；F106010 五金批發業；F206010 五金零售業；F213010 電器零售業；F213040 精密儀器零售業；F213080 機械器具零售業；EZ05010 儀器、儀表安裝工程業；E604010 機械安裝業；F401010 國際貿易業,基隆市,變更,11507
12756229,雅羅國際有限公司,基隆市仁愛區玉田里仁二路195號二樓,柯安庭,10000000,90/03/01,115/07/17,公司所在地,C301010 紡紗業；C302010 織布業；C303010 不織布業；C805010 塑膠皮、布、板、管材製造業；CB01010 機械設備製造業；F104010 布疋批發業；F104020 成衣批發業；F104080 紡織線類批發業；F106010 五金批發業；F106020 日常用品批發業,基隆市,變更,11507
12786032,中天國際裝卸股份有限公司,基隆市中正區中船路134號11樓之2,王慕嚴,29000000,90/04/18,115/07/02,改選董事/監察人(一人法人股東指派董事/監察人),G406020 商港區倉棧業；G801010 倉儲業；IZ99990 其他工商服務業(人工裝卸貨物)；IZ12010 人力派遣業；IZ06010 理貨包裝業；I601010 租賃業；EZ02010 起重工程業；J101030 廢棄物清除業；J101040 廢棄物處理業；I301020 資料處理服務業,基隆市,變更,11507
12958581,耀晶生活科技有限公司,基隆市中山區中和路70巷6號1樓,張耀中,4000000,90/11/09,115/07/08,申登機關變更（遷入，含卷）,C104020 烘焙炊蒸食品製造業；C501010 製材業；CC01020 電線及電纜製造業；CC01030 電器及視聽電子產品製造業；CC01040 照明設備製造業；CC01060 有線通信機械器材製造業；CC01080 電子零組件製造業；CN01010 家具及裝設品製造業；CP01010 手工具製造業；E599010 配管工程業,基隆市,變更,11507
