統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
00002019,銀海貿易有限公司,臺北市中山區長安東路2段108號3樓之1,邱奕昇,800000,,115/07/07,特殊補正,F102170 食品什貨批發業；F106010 五金批發業；F106020 日常用品批發業；F199990 其他批發業；F401010 國際貿易業；G801010 倉儲業；H201010 一般投資業；H202010 創業投資業；H701010 住宅及大樓開發租售業；H703090 不動產買賣業,臺北市,變更,11507
00003621,澄月股份有限公司,臺北市中山區松江路50號9樓,李維仁,151000000,,115/07/01,公司所在地,H201010 一般投資業,臺北市,變更,11507
00003761,吉上數位有限公司,臺北市中山區民權西路20號2樓,邱吉祥,500000,,115/07/15,公司名稱變更修正章程,I401010 一般廣告服務業；J399990 其他出版業；F109070 文教、樂器、育樂用品批發業；F209060 文教、樂器、育樂用品零售業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F204110 布疋、衣著、鞋、帽、傘、服飾品零售業；F399040 無店面零售業；F401010 國際貿易業；J305010 有聲出版業；J399010 軟體出版業,臺北市,變更,11507
00008392,心巢房屋股份有限公司,臺北市中山區新生北路3段5號1樓,阮巧玲,1000000,,115/07/08,公司所在地,H704031 不動產仲介經紀業；H706011 租賃住宅代管業；H706021 租賃住宅包租業；H701010 住宅及大樓開發租售業；H703090 不動產買賣業；H703100 不動產租賃業；I103060 管理顧問業；J101010 建築物清潔服務業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,臺北市,變更,11507
00008920,隆陞投資股份有限公司,臺北市大安區信義路4段210號11樓,呂盧秋雲,20000,,115/07/09,改選董事/監察人(一人法人股東指派董事/監察人),H201010 一般投資業,臺北市,變更,11507
00010382,豐光創能股份有限公司,臺北市信義區松仁路89號12樓之4,羅惠真,5000000,,115/07/15,補繳規費,CC01080 電子零組件製造業；CC01110 電腦及其週邊設備製造業；CC01010 發電、輸電、配電機械製造業；E601010 電器承裝業；E603010 電纜安裝工程業；E604010 機械安裝業；E606010 用電設備檢驗維護業；F399040 無店面零售業；F401010 國際貿易業；F113990 其他機械器具批發業,臺北市,變更,11507
00012558,群曜數位科技股份有限公司,臺北市中山區民權東路3段65號1樓,張松鑌,275000000,,115/07/06,特殊補正,CB01010 機械設備製造業；CC01060 有線通信機械器材製造業；CC01070 無線通信機械器材製造業；CC01080 電子零組件製造業；CC01120 資料儲存媒體製造及複製業；E601010 電器承裝業；E601020 電器安裝業；E603010 電纜安裝工程業；E603040 消防安全設備安裝工程業；E603050 自動控制設備工程業,臺北市,變更,11507
00015627,希爾賽股份有限公司,臺北市信義區基隆路2段51號8樓之7,李海雯,9210000,,115/07/09,改選董事/監察人(一人法人股東指派董事/監察人),F203010 食品什貨、飲料零售業；F203020 菸酒零售業；F203030 酒精零售業；F501030 飲料店業；F501060 餐館業；F399040 無店面零售業；F401010 國際貿易業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,臺北市,變更,11507
00017723,健生活股份有限公司,臺北市中山區玉門街1號1樓,趙孟彥,35707200,,115/07/08,修正章程,F102040 飲料批發業；F102170 食品什貨批發業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F106020 日常用品批發業；F107030 清潔用品批發業；F108021 西藥批發業；F108031 醫療器材批發業；F108040 化粧品批發業；F221010 食品添加物零售業；F199990 其他批發業,臺北市,變更,11507
00020467,傑悅科技股份有限公司,臺北市松山區復興北路201號4樓之1,林偉傑,100000,,115/07/17,特殊補正,F113050 電腦及事務性機器設備批發業；F114030 汽、機車零件配備批發業；F118010 資訊軟體批發業；F209060 文教、樂器、育樂用品零售業；F213010 電器零售業；F213030 電腦及事務性機器設備零售業；F218010 資訊軟體零售業；F219010 電子材料零售業；F399040 無店面零售業；F399990 其他綜合零售業,臺北市,變更,11507
00024870,微笑人數位有限公司,臺北市中山區松江路50號9樓,徐嘉陞,200000,,115/07/24,公司所在地,CC01080 電子零組件製造業；CC01120 資料儲存媒體製造及複製業；E603050 自動控制設備工程業；E605010 電腦設備安裝業；EZ05010 儀器、儀表安裝工程業；F109070 文教、樂器、育樂用品批發業；F113020 電器批發業；F113030 精密儀器批發業；F113050 電腦及事務性機器設備批發業；F118010 資訊軟體批發業,臺北市,變更,11507
00025717,緯承國際有限公司,臺北市中山區長安東路2段230號10樓之5,周上閔,36706800,,115/07/29,公司所營事業變更修正章程,H201010 一般投資業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F105050 家具、寢具、廚房器具、裝設品批發業；F106020 日常用品批發業；F109070 文教、樂器、育樂用品批發業；F204110 布疋、衣著、鞋、帽、傘、服飾品零售業；F205040 家具、寢具、廚房器具、裝設品零售業；F206020 日常用品零售業；F209060 文教、樂器、育樂用品零售業；F102030 菸酒批發業,臺北市,變更,11507
00026835,勝鋒股份有限公司,臺北市大安區新生南路1段111號5樓,李俐瑩,13908600,,115/07/06,董事/監察人持股變動報備,F118010 資訊軟體批發業；F119010 電子材料批發業；F218010 資訊軟體零售業；F219010 電子材料零售業；F401010 國際貿易業；H201010 一般投資業；H703090 不動產買賣業；H703100 不動產租賃業；I102010 一般投資顧問業；I103060 管理顧問業,臺北市,變更,11507
00030129,安能電業股份有限公司,臺北市南港區三重路19之9號5樓,郭明倫,7500000,,115/07/29,改派董事/監察人,D101091 再生能源售電業；E606010 用電設備檢驗維護業；E604010 機械安裝業；E605010 電腦設備安裝業；EZ05010 儀器、儀表安裝工程業；EZ99990 其他工程業；E601010 電器承裝業；E603010 電纜安裝工程業；E601020 電器安裝業；F113110 電池批發業,臺北市,變更,11507
00036741,波喜有限公司,臺北市中山區中山北路1段53巷4號,蔡佳璇,2000000,,115/07/29,特殊補正,I301010 資訊軟體服務業；I301020 資料處理服務業；I301030 電子資訊供應服務業；I401020 廣告傳單分送業；I401010 一般廣告服務業；J602010 演藝活動業；F219010 電子材料零售業；F401010 國際貿易業；I102010 一般投資顧問業；I103060 管理顧問業,臺北市,變更,11507
00037615,馬特歐有限公司,臺北市松山區南京東路5段296號4樓之1,吳松昌,200000,,115/07/24,公司所在地,F204110 布疋、衣著、鞋、帽、傘、服飾品零售業；F206020 日常用品零售業；F401010 國際貿易業；JA02990 其他修理業；F399040 無店面零售業,臺北市,變更,11507
00037896,台灣茱莉蔻股份有限公司,臺北市中正區忠孝東路1段9號5樓,田端孝紘,7000000,,115/07/16,經理人解任,F208040 化粧品零售業；F108040 化粧品批發業；F399040 無店面零售業；JZ99080 美容美髮服務業；C199990 未分類其他食品製造業；C307010 服飾品製造業；C802090 清潔用品製造業；C802100 化粧品製造業；C802990 其他化學製品製造業；CZ99990 未分類其他工業製品製造業,臺北市,變更,11507
00039347,煜紘開發有限公司,臺北市大安區信義路4段170號3樓,王儷珍,2100000,,115/07/21,增資,H201010 一般投資業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,臺北市,變更,11507
00039352,佳利達投資股份有限公司,臺北市中正區館前路8號7樓,董大年,1000000,,115/07/06,改選董事/監察人(一人法人股東指派董事/監察人),H201010 一般投資業,臺北市,變更,11507
00039515,宸誠有限公司,臺北市中正區金山北路1號5樓之7,康育誠,1388888,,115/07/29,特殊補正,I103060 管理顧問業；I199990 其他顧問服務業；I301020 資料處理服務業；I599990 其他設計業；IZ99990 其他工商服務業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,臺北市,變更,11507
